"Id","KernelId","TagId"
"3","239212","8317"
"5","269972","13215"
"6","323922","13311"
"7","350932","13311"
"9","331537","13306"
"10","331537","13201"
"13","230838","13208"
"16","353112","13102"
"17","353112","13207"
"18","354533","13102"
"19","354533","13207"
"20","353931","13102"
"21","353931","13409"
"23","353507","13208"
"25","352333","13102"
"26","352333","13208"
"29","352333","13202"
"30","352333","13402"
"32","352333","13405"
"35","351983","13208"
"37","351887","13207"
"38","351887","13103"
"39","350932","13104"
"42","350932","13208"
"43","347927","13208"
"44","347927","13405"
"47","344381","13410"
"48","344381","13102"
"50","343803","13402"
"51","343803","13401"
"53","343803","13404"
"54","343803","13306"
"55","343803","13103"
"56","342425","13204"
"57","342425","13410"
"59","342425","13104"
"60","341607","13302"
"61","341607","13208"
"62","340408","13402"
"63","340408","13304"
"64","340408","13309"
"66","340408","13103"
"70","340187","13304"
"73","337346","13208"
"74","337346","13102"
"75","332326","13409"
"76","332326","13304"
"78","330113","13202"
"79","330113","13306"
"80","330113","13102"
"81","332326","13103"
"82","327658","13208"
"84","326731","13401"
"86","326731","13407"
"87","326731","13104"
"89","324741","13403"
"93","324239","13206"
"97","323922","13202"
"99","323922","13104"
"100","323495","13207"
"102","323495","13104"
"103","322119","13208"
"104","322119","13102"
"105","321507","13407"
"106","321507","13104"
"107","321507","13207"
"108","321431","13207"
"110","321210","13403"
"111","321210","13103"
"113","318487","13102"
"115","342425","13201"
"116","341607","13315"
"118","340187","13201"
"120","317449","13403"
"121","317449","13304"
"122","317449","13104"
"123","317449","13206"
"124","316633","13403"
"125","316633","13206"
"128","316633","13305"
"129","316633","13104"
"130","316346","13206"
"131","316346","13201"
"132","316346","13208"
"133","316220","13201"
"134","316220","13306"
"135","316220","13202"
"136","316220","13208"
"137","316220","13102"
"138","316095","13104"
"139","316095","13403"
"141","316095","13206"
"145","315048","13102"
"147","314889","13404"
"148","314889","13104"
"149","314247","13415"
"150","314247","13102"
"152","311797","11208"
"155","311737","13308"
"157","311737","13201"
"158","311616","13201"
"161","311616","13208"
"162","311041","13201"
"163","311041","13315"
"164","311041","13306"
"165","311041","13103"
"166","308329","13102"
"168","305320","13306"
"170","305320","13103"
"172","302039","13309"
"173","301565","13411"
"174","301565","13302"
"175","301565","13102"
"176","299872","13315"
"177","299872","13102"
"178","299068","13202"
"179","299068","13306"
"180","298535","13401"
"182","298535","13103"
"184","354624","13201"
"185","354580","13201"
"186","354580","13208"
"187","352372","13204"
"188","352372","13302"
"189","351988","13208"
"190","351974","13208"
"191","351974","13206"
"192","351592","13208"
"193","351592","13206"
"195","350679","13204"
"196","350679","13208"
"197","350679","13403"
"198","348302","13208"
"199","347379","13201"
"200","347379","13208"
"203","346312","13306"
"205","344178","13415"
"207","343571","13208"
"208","343571","13206"
"213","340671","13204"
"214","340671","13410"
"215","340322","13302"
"216","337404","13201"
"217","337404","13208"
"219","336921","13306"
"220","336921","13206"
"221","336921","13403"
"222","335935","13403"
"224","334303","13408"
"225","334303","13206"
"226","334303","13208"
"227","328926","13208"
"228","328926","13207"
"232","324756","13207"
"233","324087","13201"
"234","324087","13208"
"235","323679","13207"
"236","323679","13201"
"237","321420","13208"
"239","317870","13408"
"240","317870","13208"
"241","316846","13208"
"242","316744","13201"
"243","316744","13208"
"244","316393","13208"
"245","316393","13201"
"246","316256","13201"
"248","316256","13208"
"250","316155","13201"
"251","316155","13306"
"252","316155","13202"
"253","315972","13201"
"254","315502","13208"
"256","314666","13403"
"257","311644","13208"
"258","311644","13206"
"260","311581","13208"
"261","311581","13204"
"263","310240","13201"
"264","310240","13208"
"265","310093","13302"
"266","310093","13306"
"267","305476","13208"
"268","301442","13302"
"269","299930","13413"
"270","299930","13207"
"271","299930","13302"
"272","298940","13208"
"273","298940","13204"
"274","298303","13208"
"275","297854","13204"
"276","296569","13201"
"277","296569","13306"
"278","296198","13408"
"279","296198","13208"
"280","294113","13201"
"281","294113","13208"
"283","292261","13201"
"284","292261","13208"
"285","289505","13401"
"286","288600","13201"
"287","288600","13208"
"294","281584","13403"
"295","279071","13208"
"296","278651","13415"
"297","276259","13208"
"298","276259","13409"
"299","273661","13403"
"300","273661","13409"
"302","353918","13402"
"303","65974","13201"
"304","65974","13208"
"307","349574","13208"
"312","353097","13407"
"313","350793","13305"
"315","335765","13416"
"316","335942","13416"
"322","315928","13407"
"324","315668","13407"
"325","313345","13208"
"327","301349","13308"
"328","300050","13208"
"331","300050","13209"
"332","297958","13403"
"333","295716","13201"
"334","295716","13402"
"335","295716","13306"
"336","295716","13103"
"337","296157","13208"
"338","296207","13404"
"339","296207","13204"
"340","297847","13204"
"341","297847","13403"
"342","295597","11208"
"343","295597","13102"
"344","292955","13207"
"346","292955","13102"
"347","290473","13207"
"349","290473","13102"
"350","289846","13403"
"351","289846","13103"
"353","289199","13208"
"354","289199","13103"
"355","288067","13305"
"357","286574","13415"
"358","286574","13104"
"359","286046","13208"
"360","285181","13306"
"361","285181","13402"
"362","44675","13102"
"363","44675","13306"
"364","325191","13201"
"365","44675","13402"
"368","266461","13201"
"369","266461","13102"
"370","212684","13201"
"371","212684","13208"
"372","212684","13403"
"373","212684","13204"
"375","212684","13103"
"376","24037","13404"
"377","24037","13402"
"378","24037","13102"
"379","24037","13201"
"380","266470","13201"
"381","260841","13201"
"382","260841","13208"
"383","260841","13103"
"384","33326","13208"
"385","33326","13102"
"386","182517","13305"
"387","266470","13208"
"388","182517","13403"
"389","266572","13403"
"390","186062","13201"
"391","186062","13202"
"392","186062","13102"
"393","266752","13201"
"395","266752","13403"
"398","266937","13201"
"399","301015","13403"
"401","178681","13104"
"402","267133","13401"
"403","178681","13415"
"404","313482","13305"
"405","313482","13403"
"406","313482","13401"
"407","271726","13305"
"408","149281","13315"
"410","149281","13306"
"411","96093","13405"
"412","96093","13403"
"413","96093","13102"
"414","29004","13407"
"417","105200","13315"
"418","162371","13310"
"419","162371","13207"
"420","162371","13104"
"421","179591","13201"
"422","179591","13208"
"423","260958","13201"
"424","260958","13208"
"425","271508","13201"
"426","271508","13208"
"427","19422","13201"
"428","19422","13208"
"429","252006","13201"
"430","252006","13208"
"431","158666","13201"
"432","158666","13208"
"433","239237","13201"
"434","48006","13201"
"435","48006","13208"
"437","166861","13309"
"438","103626","13201"
"439","77764","13206"
"440","77764","13208"
"441","245182","13201"
"442","125434","13201"
"443","125434","13208"
"444","232566","13201"
"445","232566","13202"
"446","232566","13306"
"447","232566","13315"
"448","213323","13201"
"450","213323","13103"
"451","15869","13201"
"452","15869","13208"
"453","245182","13208"
"454","230838","13207"
"457","347146","13208"
"458","347146","13305"
"459","347146","13315"
"460","341855","13204"
"461","341855","13208"
"465","58140","13208"
"466","317316","13208"
"468","317316","13201"
"469","354585","13204"
"470","354585","13201"
"471","354585","13102"
"474","354306","13415"
"475","354306","13305"
"477","271026","13208"
"481","321924","13207"
"483","322320","13207"
"485","352469","13201"
"486","349263","11208"
"487","349263","13205"
"488","352469","13208"
"491","321469","13207"
