S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,180 Days,52 Weeks High,52 Weeks Low
1,ADBL,29.10,369,376,362,368,363.43,"5,639",376,"2,049,363",35,-8.00,14.00,-2.13,3.87,1.24,408.02,475.00,292.00
2,AHPC,29.25,93,93,93,93,93.00,190,93,"17,670",1,0.00,0.00,0.00,0.00,0.00,98.82,125.00,88.00
3,AKPL,32.14,111,112,111,112,111.90,110,113,"12,309",2,-1.00,1.00,-0.88,0.90,0.09,139.06,220.00,106.00
4,ALBSL,33.59,612,618,588,618,597.24,851,623,"508,253",20,-5.00,30.00,-0.80,5.10,3.36,510.06,936.00,373.00
5,ALICL,32.72,494,494,455,492,470.42,"3,443",485,"1,619,660",26,7.00,39.00,1.44,8.57,4.39,400.73,720.00,304.00
6,API,40.06,106,116,104,116,107.09,"2,980",108,"319,130",13,8.00,12.00,7.41,11.54,7.68,121.81,178.00,100.00
7,BFC,33.66,95,95,95,95,95.00,50,96,"4,750",1,-1.00,0.00,-1.04,0.00,0.00,96.03,117.00,81.00
8,BOKL,28.81,219,226,213,218,215.12,"10,899",223,"2,344,645",54,-5.00,13.00,-2.24,6.10,1.32,240.47,299.00,210.00
9,BPCL,35.13,321,330,320,330,322.52,"1,300",326,"419,270",8,4.00,10.00,1.23,3.13,2.27,362.11,459.00,300.00
10,CBBL,32.73,946,955,933,955,946.95,860,965,"814,380",14,-10.00,22.00,-1.04,2.36,0.84,961.87,"1,343.00",751.00
11,CBL,32.56,138,140,138,138,138.09,"1,836",140,"253,528",8,-2.00,2.00,-1.43,1.45,-0.06,146.06,175.00,134.00
12,CCBL,31.56,165,168,159,159,160.76,"4,416",162,"709,896",20,-3.00,9.00,-1.85,5.66,-1.10,168.51,210.00,150.00
13,CFCL,36.14,112,122,112,122,118.47,"1,275",114,"151,050",8,8.00,10.00,7.02,8.93,2.89,122.87,163.00,104.00
14,CHCL,33.74,379,386,358,368,365.81,"2,509",377,"917,818",26,-9.00,28.00,-2.39,7.82,0.60,427.47,578.00,344.00
15,CIT,33.28,2513,2513,2421,2440,"2,456.09","1,394",2465,"3,423,793",14,-25.00,92.00,-1.01,3.80,-0.66,"2,178.27","3,164.00","1,678.00"
16,CLBSL,34.48,1003,1063,1003,1042,"1,042.86",70,984,"73,000",6,58.00,60.00,5.89,5.98,-0.08,658.01,"1,549.00",438.00
17,CZBIL,26.66,183,184,180,180,181.24,"3,796",185,"687,997",22,-5.00,4.00,-2.70,2.22,-0.69,202.12,243.00,177.00
18,DDBL,31.47,775,775,745,759,755.33,120,760,"90,640",7,-1.00,30.00,-0.13,4.03,0.48,801.43,"1,100.00",575.00
19,EBL,25.38,618,620,606,612,613.92,"5,866",630,"3,601,276",37,-18.00,14.00,-2.86,2.31,-0.31,614.33,932.00,517.00
20,EIC,32.32,334,345,334,345,341.45,"1,630",340,"556,570",8,5.00,11.00,1.47,3.29,1.03,315.72,"1,050.00",204.00
