,class,area,lotfrontage,quality,year_built,living_area,garage_area,year_sold,price
0,60,8450,65.0,7,2003,1710,548,2008,208500
1,20,9600,80.0,6,1976,1262,460,2007,181500
2,60,11250,68.0,7,2001,1786,608,2008,223500
3,70,9550,60.0,7,1915,1717,642,2006,140000
4,60,14260,84.0,8,2000,2198,836,2008,250000
5,50,14115,85.0,5,1993,1362,480,2009,143000
6,20,10084,75.0,8,2004,1694,636,2007,307000
7,60,10382,70.04995836802665,7,1973,2090,484,2009,200000
8,50,6120,51.0,7,1931,1774,468,2008,129900
9,190,7420,50.0,5,1939,1077,205,2008,118000
10,20,11200,70.0,5,1965,1040,384,2008,129500
11,60,11924,85.0,9,2005,2324,736,2006,345000
12,20,12968,70.04995836802665,5,1962,912,352,2008,144000
13,20,10652,91.0,7,2006,1494,840,2007,279500
14,20,10920,70.04995836802665,6,1960,1253,352,2008,157000
15,45,6120,51.0,7,1929,854,576,2007,132000
16,20,11241,70.04995836802665,6,1970,1004,480,2010,149000
17,90,10791,72.0,4,1967,1296,516,2006,90000
18,20,13695,66.0,5,2004,1114,576,2008,159000
19,20,7560,70.0,5,1958,1339,294,2009,139000
20,60,14215,101.0,8,2005,2376,853,2006,325300
21,45,7449,57.0,7,1930,1108,280,2007,139400
22,20,9742,75.0,8,2002,1795,534,2008,230000
23,120,4224,44.0,5,1976,1060,572,2007,129900
24,20,8246,70.04995836802665,5,1968,1060,270,2010,154000
25,20,14230,110.0,8,2007,1600,890,2009,256300
26,20,7200,60.0,5,1951,900,576,2010,134800
27,20,11478,98.0,8,2007,1704,772,2010,306000
28,20,16321,47.0,5,1957,1600,319,2006,207500
29,30,6324,60.0,4,1927,520,240,2008,68500
30,70,8500,50.0,4,1920,1317,250,2008,40000
31,20,8544,70.04995836802665,5,1966,1228,271,2008,149350
32,20,11049,85.0,8,2007,1234,484,2008,179900
33,20,10552,70.0,5,1959,1700,447,2010,165500
34,120,7313,60.0,9,2005,1561,556,2007,277500
35,60,13418,108.0,8,2004,2452,691,2006,309000
36,20,10859,112.0,5,1994,1097,672,2009,145000
37,20,8532,74.0,5,1954,1297,498,2009,153000
38,20,7922,68.0,5,1953,1057,246,2010,109000
39,90,6040,65.0,4,1955,1152,0,2008,82000
40,20,8658,84.0,6,1965,1324,440,2006,160000
41,20,16905,115.0,5,1959,1328,308,2007,170000
42,85,9180,70.04995836802665,5,1983,884,504,2007,144000
43,20,9200,70.04995836802665,5,1975,938,308,2008,130250
44,20,7945,70.0,5,1959,1150,300,2006,141000
45,120,7658,61.0,9,2005,1752,576,2010,319900
46,50,12822,48.0,7,2003,2149,670,2009,239686
47,20,11096,84.0,8,2006,1656,826,2007,249700
48,190,4456,33.0,4,1920,1452,0,2009,113000
49,20,7742,66.0,5,1966,955,386,2007,127000
50,60,13869,70.04995836802665,6,1997,1470,388,2007,177000
51,50,6240,52.0,6,1934,1176,528,2006,114500
52,90,8472,110.0,5,1963,816,516,2010,110000
53,20,50271,68.0,9,1981,1842,894,2006,385000
54,80,7134,60.0,5,1955,1360,572,2007,130000
55,20,10175,100.0,6,1964,1425,576,2008,180500
56,160,2645,24.0,8,1999,1739,480,2009,172500
57,60,11645,89.0,7,2004,1720,565,2006,196500
58,60,13682,66.0,10,2006,2945,641,2006,438780
59,20,7200,60.0,5,1972,780,352,2008,124900
60,20,13072,63.0,6,2004,1158,576,2006,158000
61,75,7200,60.0,5,1920,1111,288,2007,101000
62,120,6442,44.0,8,2006,1370,484,2007,202500
63,70,10300,50.0,7,1921,1710,480,2010,140000
64,60,9375,70.04995836802665,7,1997,2034,645,2009,219500
65,60,9591,76.0,8,2004,2473,852,2007,317000
66,20,19900,70.04995836802665,7,1970,2207,576,2010,180000
67,20,10665,72.0,7,2003,1479,558,2007,226000
68,30,4608,47.0,4,1945,747,220,2010,80000
69,50,15593,81.0,7,1953,2287,667,2006,225000
70,20,13651,95.0,7,1973,2223,516,2007,244000
71,20,7599,69.0,4,1982,845,360,2007,129500
72,60,10141,74.0,7,1998,1718,427,2009,185000
73,20,10200,85.0,5,1954,1086,490,2010,144900
74,50,5790,60.0,3,1915,1605,379,2010,107400
75,180,1596,21.0,4,1973,988,297,2009,91000
76,20,8475,70.04995836802665,4,1956,952,283,2008,135750
77,50,8635,50.0,5,1948,1285,240,2008,127000
78,90,10778,72.0,4,1968,1768,0,2010,136500
79,50,10440,60.0,5,1910,1230,440,2009,110000
80,60,13000,100.0,6,1968,2142,509,2009,193500
81,120,4500,32.0,6,1998,1337,405,2006,153500
82,20,10206,78.0,8,2007,1563,758,2008,245000
83,20,8892,80.0,5,1960,1065,461,2007,126500
84,80,8530,70.04995836802665,7,1995,1474,400,2009,168500
85,60,16059,121.0,8,1991,2417,462,2006,260000
86,60,11911,122.0,6,2005,1560,400,2009,174000
